headline,date,description,url
Israel’s ties with Europe strained by wars in Gaza and Lebanon,"Oct 20, 2024",Israel has met with scathing criticism from European leaders who are trying to restrain the Jewish state from pressing on with its wars in Gaza and southern Lebanon.,https://www.cnn.com/2024/10/20/middleeast/israel-ties-europe-under-strain-intl-cmd/index.html
The latest on Hamas leader’s death and war in the Middle East,"Oct 20, 2024","Following Hamas leader Yahya Sinwar’s death in Gaza, Israel has continued to barrage the strip as it also targets Hezbollah in Lebanon. Follow for live news updates.",https://www.cnn.com/world/live-news/israel-hamas-lebanon-sinwar-gaza-iran-10-19-24/index.html
"October 18, 2024 news on the wars in the Middle East","Oct 19, 2024","Hamas leader Yahya Sinwar, believed to be an architect of the militant group’s deadly October 7, 2023, terror attack that set off the war in Gaza, was killed by Israeli forces.",https://www.cnn.com/world/live-news/israel-hamas-lebanon-sinwar-gaza-iran-10-18-24-intl-hnk/index.html
US B-2 bombers strike Iran-backed Houthis in Yemen,"Oct 17, 2024","The US carried out a round of strikes in Yemen against the Iran-backed Houthis on Wednesday evening, according to Defense Secretary Lloyd Austin, targeting five underground weapons storage facilities using B-2 stealth bombers.",https://www.cnn.com/2024/10/16/politics/us-strikes-iran-backed-houthis-yemen/index.html
"October 16, 2024 news on the wars in the Middle East","Oct 17, 2024","The US has carried out a round of strikes in Yemen against the Iran-backed Houthis, targeting underground weapons facilities.",https://www.cnn.com/world/live-news/israel-iran-lebanon-gaza-hamas-10-16-24-intl-hnk/index.html
Who supplies Israel with weapons?,"Oct 16, 2024",The United States has warned Israel it may stop supplying the country with weapons unless the humanitarian situation in Gaza improves.,https://www.cnn.com/2024/10/16/middleeast/where-israel-get-its-weapons/index.html
"October 15, 2024 news on the wars in the Middle East","Oct 16, 2024","Hezbollah’s deputy secretary general called on Israelis to accept a ceasefire in Lebanon or face “pain,” suggesting it would ramp up attacks further south in Israel.",https://www.cnn.com/world/live-news/israel-iran-lebanon-gaza-war-10-15-24-intl-hnk/index.html
CNN reporter shows the destruction left behind in southern Lebanon,"Oct 16, 2024",CNN’s Jeremy Diamond tours southern Lebanon’s battlefield ground operation with Israeli military forces.,https://www.cnn.com/2024/10/15/world/video/cnn-lebanon-israel-jeremy-diamond-pkg-101511aseg1-cnni-world-fast
"The focus is now Iran, retired Israeli General says","Oct 16, 2024","Retired Israeli General Amos Yadlin talks to Christiane Amanpour about Israel’s war strategy in Gaza, Lebanon and Iran.",https://www.cnn.com/2024/10/15/Tv/video/amanpour-israel-gaza-lebanon-former-general-amos-yadlin
"October 14, 2024 - Hezbollah drone attack on army base kills 4 Israeli soldiers and injures dozens","Oct 16, 2024","Destruction in the Middle East continued Monday as tensions keep rising. Israeli strikes killed nearly 20 people in northern Lebanon and at least five people in Gaza, officials say.",https://www.cnn.com/world/live-news/israel-lebanon-iran-gaza-attack-10-14-24-intl-hnk/index.html
Reporter: ‘This seems to be the bloodiest attack on Israel’ away from frontlines since October 7,"Oct 14, 2024","More than 60 people have been injured in a drone attack in Israel, according to first responders. The Israel Defense Forces (IDF) did not release any details of the incident, saying only they had “intercepted” an unmanned aerial vehicle that was launched ...",https://www.cnn.com/2024/10/13/world/video/drone-attack-israel-hezbollah-robertson-wedeman-digvid
On GPS: Israel's risky choices on Iran,"Oct 14, 2024","Randa Slim, conflict resolution director at the Middle East Institute, and Richard Haass, president emeritus at the Council on Foreign Relations, join Fareed to talk about Israel’s options for responding to Iran’s missile attack and the dangers of an ...",https://www.cnn.com/2024/10/13/world/video/gps1013-escalation-in-the-middle-east
US to deploy about 100 troops to operate advanced anti-missile system in Israel amid heightened tensions,"Oct 14, 2024","The US will send an advanced anti-missile system — and US troops to operate it — to Israel “to help bolster Israel’s air defenses following Iran’s unprecedented attacks against Israel on April 13 and again on October 1,” the Pentagon said Sunday.",https://www.cnn.com/2024/10/13/politics/israel-iran-antimissile-system-us-troops/index.html
On GPS: Israel's goals in Lebanon,"Oct 14, 2024","Fareed talks with Richard Haass, president emeritus at the Council on Foreign Relations, and Randa Slim, conflict resolution director at the Middle East Institute, about the successes Israel has had against Hezbollah and the dangers of Israeli ...",https://www.cnn.com/2024/10/13/world/video/gps1013-israels-war-in-lebanon
Iran warns US that it will retaliate against any future Israel strike,"Oct 13, 2024","Iran has informed the United States that it will retaliate against any new attack by Israel, a source in Tehran told CNN. Iran’s government has also been engaging in urgent diplomatic efforts with countries in the Middle East to gauge whether it can ...",https://www.cnn.com/2024/10/12/world/video/iran-israel-pleitgen-digvid
Iran pushes for urgent diplomacy to avert Israeli retaliation,"Oct 12, 2024",Retired Admiral James Stavridis predicts the chances of a wider regional conflict in the Middle East and potential spike of global oil prices.,https://www.cnn.com/2024/10/12/world/video/smr-iran-pushes-for-urgent-diplomacy
The latest on the wars in the Middle East,"Oct 13, 2024","Israel bombards northern Gaza as border clashes continue on the Lebanese border, and Iran issues a warning against any new Israeli attacks. Follow for live news updates.",https://www.cnn.com/world/live-news/israel-war-iran-palestine-lebanon-10-12-24/index.html
Iran engages in urgent diplomacy as it braces for Israel’s response to missile attacks,"Oct 12, 2024",Iran’s government is extremely nervous and has been engaging in urgent diplomatic efforts with countries in the Middle East to gauge whether they can reduce the scale of Israel’s response to its missile attack earlier this month and – if that fails – help ...,https://www.cnn.com/2024/10/11/politics/iran-nervous-israel-response-missile-attacks/index.html
'They will definitely be destroyed': Iranian gives warning to Israel,"Oct 11, 2024",CNN’s Fred Pleitgen spoke to three Iranians who attended the Friday morning prayer and they gave harsh warnings to Israel amid escalating conflict.,https://www.cnn.com/2024/10/11/world/video/pleitgen-iran-warning-mos-israel-digvid
"Putin hails ‘very close’ links with Iran at landmark first meeting with president, as Middle East tensions soar","Oct 11, 2024","Russian President Vladimir Putin said he shares a “very close” worldview with his Iranian counterpart Masoud Pezeshkian, as the sanctioned leaders held a friendly inaugural meeting just as the Middle East braces for Israel’s response to Tehran’s ...",https://www.cnn.com/2024/10/11/world/putin-pezeshkian-russia-iran-intl/index.html
Video shows aftermath of Israeli strikes in Beirut,"Oct 11, 2024","Two Israeli airstrikes hit central Beirut in an attack that leveled an entire residential building, a Lebanese security source told CNN. CNN’s Ben Wedeman has the details.",https://www.cnn.com/2024/10/10/world/video/israel-strikes-beirut-lebanon-wedeman-lkl-digvid
Air France says jet flew over Iraq as Iranian missiles descended on Israel,"Oct 10, 2024","Air France has opened an investigation into how a jet flying from Paris to Dubai went over Iraq as Iranian missiles fired at Israel crossed the same airspace, the airline said Wednesday.",https://www.cnn.com/2024/10/09/travel/air-france-iraq-iran-israel-missile-intl/index.html
Palestinians evacuating northern Gaza say they are being shot at by Israeli military,"Oct 9, 2024","Palestinians fleeing sites of Israel’s renewed military operation in northern Gaza are being shot at as they evacuate, according to residents there and footage shared with CNN documenting their journey.",https://www.cnn.com/2024/10/08/middleeast/gaza-jabalya-idf-shooting-intl/index.html
A 21-mile-wide channel is key to cheap gas. It’s under threat,"Oct 8, 2024",Global oil prices have spiked in recent days as the conflict in the Middle East has reached fever pitch. They could rise yet further if Israel’s widening war embroils the vital Strait of Hormuz off Iran’s southern coast.,https://www.cnn.com/2024/10/08/energy/strait-of-hormuz-iran-oil-prices/index.html
"‘Resurgent’ ISIS and al Qaeda targeting Europe once again, Britain’s MI5 chief warns","Oct 8, 2024","ISIS and al Qaeda present a “resurgent” threat to the United Kingdom, the head of the country’s domestic security service warned in a rare public intervention on Tuesday, as he outlined a changing landscape of terrorism that is increasingly relying on ...",https://www.cnn.com/2024/10/08/uk/mi5-terrorism-speech-isis-al-qaeda-gbr-intl/index.html
Drone video shows destruction in southern Lebanon after Israeli airstrikes,"Oct 8, 2024","Israel has escalated its war against Hezbollah, most recently announcing an expansion of its ground operation into the country’s southwestern area. Drone footage geolocated by CNN shows the level of devastation in the village of Yaroun ...",https://www.cnn.com/2024/10/08/world/video/lebanon-destruction-israeli-airstrikes-digvid
"A year on from October 7, the Middle East is facing its greatest upheaval in a half-century","Oct 7, 2024","It is almost impossible to remember life in Israel before Hamas launched its brutal October 7 attacks a year ago, killing more than 1,200 Israelis and kidnapping more than 250 others, and there is little point, because that life is gone for good. And not ...",https://www.cnn.com/2024/10/07/middleeast/otctober-7-anniversary-middle-east-upheaval-intl/index.html
AI is powering Saudi Arabia's next wave of economic growth,"Oct 7, 2024","Saudi Arabia is betting big on AI to power its post-oil future, with the technology set to inject over $135 billion into the economy by 2030.",https://www.cnn.com/2024/10/07/business/video/ai-saudi-arabia-spc
Israeli military encircles northern Gaza refugee camp after saying it sees signs of Hamas regrouping,"Oct 7, 2024","Israel’s military says it has encircled Jabalya, northern Gaza, after seeing signs of Hamas rebuilding, despite nearly a year of fighting and strikes in the territory.",https://www.cnn.com/2024/10/06/middleeast/israel-military-northern-gaza-hamas-intl/index.html
CNN witnesses ‘very intense’ bombing in Beirut,"Oct 7, 2024",CNN Senior International Correspondent Ben Wedeman reports on intense strikes by Israel in southern Beirut.,https://www.cnn.com/2024/10/06/world/video/israel-strikes-beirut-wedeman-digvid
On GPS: How might Israel hit back at Iran?,"Oct 7, 2024","Danny Citrinowicz, former head of the Iran branch for Israeli military intelligence, tells Fareed how he thinks Israel will respond to Iran’s missile barrage.",https://www.cnn.com/2024/10/06/world/video/gps1006-how-will-israel-retaliate
Former Sec. of State Hillary Clinton calls for caution in the Middle East,"Oct 5, 2024",CNN’s Michael Smerconish talks with former Secretary of State Hillary Clinton about whether U.S. military presence in the Middle East is either containing or inflaming a wider conflict.,https://www.cnn.com/2024/10/05/world/video/smr-sec-of-state-clinton-calls-caution-middle-east
CNN's Nic Robertson answers your questions on the conflict in the Middle East,"Oct 5, 2024","CNN asked followers on social media if they had questions about the ongoing conflict in the Middle East. We picked some of the most-asked topics and put the key question to CNN’s International Diplomatic Editor, Nic Robertson.",https://www.cnn.com/2024/10/04/world/video/israel-middle-east-conflict-questions-nic-robertson-digvid
The US has strengthened its military posture in the Middle East amid unrest. Here’s where those assets are deployed,"Oct 5, 2024","The US has strengthened its military posture consistently in the Middle East over the last year following the breakout of the war between Israel and Hamas, with tensions increasing further in the days after Israel launched its operation against Hezbollah.",https://www.cnn.com/2024/10/04/politics/mapping-military-in-middle-east-dg/index.html
Israel’s bombardment of Lebanon the ‘most intense aerial campaign’ outside Gaza in last two decades,"Oct 4, 2024","Israel has pummeled Lebanon with an unprecedented airstrike campaign over the last two weeks, killing over 1,400 people, injuring nearly 7,500 others and displacing more than one million people from their homes, according to the Lebanese health ministry.",https://www.cnn.com/2024/10/04/middleeast/lebanon-israel-aerial-assault-intensity-intl/index.html
‘There will be a lot of deaths’: Israelis living near Lebanese border fear tit-for-tat escalation,"Oct 4, 2024","Yair Pinhas grew up hiking in the hills around Kiryat Shmona, his hometown in northern Israel, near the border with Lebanon.",https://www.cnn.com/2024/10/04/world/israelis-lebanon-border-fears-intl/index.html
Map shows possible Israeli targets in Iran,"Oct 4, 2024","CNN’s Erin Burnett talks to retired Lt. Colonel Jonathan Conricus, former IDF spokesperson, about maps he provided that he thinks show possible Israeli targets in Iran – and how Iran may be able to defend themselves at those targets.",https://www.cnn.com/2024/10/03/world/video/israel-iran-conricus-intv-ebof-digvid
$100 oil could be the October surprise no one wanted,"Oct 4, 2024","The Middle East is in chaos, and the oil market is remarkably calm about it.",https://www.cnn.com/2024/10/03/business/israel-iran-oil-price/index.html
"5 things to know for Oct. 3: Middle East tensions, January 6 case, Power outages, Childhood vaccines, Bank of America","Oct 3, 2024",CNN’s 5 Things brings you the news you need to know every morning.,https://www.cnn.com/2024/10/03/us/5-things-to-know-for-oct-3-middle-east-tensions-january-6-case-power-outages-childhood-vaccines-bank-of-america/index.html
'This is something dangerous': Lebanese Foreign Minister on Israel's incursion,"Oct 3, 2024","Christiane Amanpour speaks with Lebanon’s Foreign Minister Abdallah Bou Habib, just before Iran’s strikes on Israel on Tuesday.",https://www.cnn.com/2024/10/03/Tv/video/amanpour-lebanon-israel-abdallah-bou-habib
Ehud Barak: ‘Israel is not alone in the world’,"Oct 3, 2024","The former Israeli Prime Minister Ehud Barak says Israel has a “compelling need to respond” to Iran’s missile attack; but warns, “Israel cannot rearrange the Middle East on its own.”",https://www.cnn.com/2024/10/02/Tv/video/amanpour-barak-israel-iran
Regional war is effectively here. What Israel does next will be pivotal,"Oct 3, 2024","In the days after Hamas’ October 7 attack on Israel, fears ran high of a regional war. The conflict would not be contained in Gaza, the thinking went – Hezbollah would attack Israel from the north, the Houthis from Yemen, and Iranian proxies from Iraq. ...",https://www.cnn.com/2024/10/02/middleeast/israel-lebanon-regional-war-analysis-intl/index.html
How might Israel respond to Iran’s missile barrage? Here’s what we know,"Oct 2, 2024","The Middle East is edging ever closer toward a full-blown regional war as Israel vowed to respond to Iran’s huge barrage of ballistic missiles fired at the country on Tuesday night, capping a day of dramatic military escalation in the region.",https://www.cnn.com/2024/10/02/middleeast/iran-missile-attack-israel-explainer-intl-hnk/index.html
What are the missiles in Iran’s arsenal and how does Israel counter them?,"Oct 2, 2024","Iran has unleashed its largest ever attack on Israel, firing 180 ballistic missiles late Tuesday most of which were apparently intercepted by anti-missile defenses employed by Israel, the United States and Jordan, according to those countries’ ...",https://www.cnn.com/2024/10/02/middleeast/iran-missiles-israel-defenses-intl-hnk-ml/index.html
Israel says Iran ‘will pay’ for launching a major missile attack against it,"Oct 2, 2024",Iran launched dozens of missiles toward Israel on Tuesday in what it said was a response to the killing of Hezbollah leader Hassan Nasrallah and others – potentially taking the region closer to a wider conflict.,https://www.cnn.com/2024/10/01/politics/iran-missile-attack-israel/index.html
People of Gaza and Iran celebrate response of missile attack into Israel,"Oct 2, 2024",Iranians and Gazans are shown celebrating as missiles launched by Iran fire at Israel in an attack Tuesday. Iran’s Islamic Revolutionary Guard Corps said the attack focused on Israeli security and military targets and was in response to the killing of ...,https://www.cnn.com/2024/10/01/world/video/iran-celebrates-missiles-israel-digvid
See first look at damage caused by Iran's missile attack on Israel,"Oct 2, 2024",Missiles rained down on Israel as Iran launched an attack on Tuesday. See the first images of damage from the barrage of missile fire.,https://www.cnn.com/2024/10/01/world/video/iran-missile-attack-aftermath-video-israel-digvid
Video shows Iranian missiles in the skies across Israel,"Oct 2, 2024","Iran has launched a missile attack on Israel. Sirens sounded across the country as CNN teams on the ground saw dozens of missiles over the cities of Tel Aviv, Jerusalem and Haifa.",https://www.cnn.com/2024/10/01/world/video/video-iran-missiles-israel-digvid
Video shows Iranian missile attack on Israel,"Oct 2, 2024","Missiles have been launched from Iran to Israel, according to an Israel Defense Forces statement. CNN’s Jim Sciutto reports from Tel Aviv.",https://www.cnn.com/2024/10/01/world/video/iran-attack-israel-video-sciutto-digvid
Israel launches ground incursion in southern Lebanon,"Oct 1, 2024","Israel has launched a ground incursion in southern Lebanon in order to target Hezbollah. Israeli officials say there will be no long-term occupation of the country, and that the incursion will be limited in scope.",https://www.cnn.com/2024/10/01/world/video/israel-launches-incursion-southern-lebanon-ldn-digvid
Israeli troops have launched a ground offensive in southern Lebanon. Here’s what we know,"Oct 1, 2024","Israel has launched a ground operation across its northern border into Lebanon targeting the Iran-backed militant group Hezbollah, opening a new and dangerous phase in almost a year of war.",https://www.cnn.com/2024/10/01/middleeast/israel-ground-incursion-lebanon-explainer-intl-hnk/index.html
What Israel’s ground operation into Lebanon drives home about America,"Oct 1, 2024",Israel’s apparently impending ground incursion into Lebanon will drive home a new strategic reality of a year of war — the once-mighty US is powerless to rein in its ally or to influence other major belligerents in a fast-worsening regional crisis.,https://www.cnn.com/2024/09/30/politics/america-israel-lebanon-war-analysis/index.html
CNN reporter reacts to potential Israeli incursion in Lebanon,"Oct 1, 2024","As satellite images show Israeli military vehicles close to the Lebanon border, CNN’s Ben Wedeman reacts to a possible incursion. The IDF would not comment when asked about whether the vehicles were part of a potential invasion force.",https://www.cnn.com/2024/09/30/world/video/lebanon-israel-ground-incursion-digvid
"Israel has tactics, but no strategy, Egypt's former Foreign Minister says","Oct 1, 2024",Egypt’s former Foreign Minister Nabil Fahmy talks to Christiane Amanpour about Israel’s attacks in Lebanon.,https://www.cnn.com/2024/09/30/Tv/video/amanpour-israel-lebanon-war-egyptian-former-foreign-minister-nabil-fahmy
Israel wants to change the balance of power in the Middle East. History has a warning,"Sep 30, 2024","The past holds bitter lessons for leaders who entertain grand ambitions of tectonic changes in Lebanon, and in the Middle East in general.",https://www.cnn.com/2024/09/29/middleeast/israel-war-lebanon-history-consequences-wedeman-intl/index.html
Devastation on the streets of Lebanon after days of Israeli bombardment,"Sep 30, 2024",A sense of dread is palpable. Many of the country’s displaced have lost loved ones but can barely find the time to grieve as they scramble for shelter and food. Those not yet personally impacted must contend with the unknown territory into which the ...,https://www.cnn.com/2024/09/29/middleeast/israel-lebanon-war-devastation-beirut-intl-latam/index.html
Watch massive explosions as Israel strikes port in Houthi-controlled Yemen,"Sep 30, 2024",Israel strikes targets including a seaport and power station in Houthi-controlled Yemen after the Iran-backed Houthis launched recent rocket and missile attacks on Israel. CNN’s Jim Sciutto reports.,https://www.cnn.com/2024/09/29/world/video/yemen-explosions-israeli-strikes-port-sciutto-digvid
On GPS: Iranian president on escalating tensions in the Middle East,"Sep 30, 2024",Fareed asks Iranian President Masoud Pezeshkian about rising tensions between Hezbollah and Israel and the possibility of further expansion of the conflict.,https://www.cnn.com/2024/09/29/world/video/gps0929-iranian-president-on-middle-east-tensions
What might come next as Hezbollah reels from Nasrallah’s killing and Israel mulls a Lebanon ground incursion?,"Sep 29, 2024",The last 48 hours in the Middle East – in which Israel killed Hezbollah leader Hassan Nasrallah and continued to bombard the Iran-backed group across Lebanon – have once more ratcheted fears that this long-running conflict could spiral into a wider ...,https://www.cnn.com/2024/09/29/middleeast/what-might-come-next-as-hezbollah-reels-from-nasrallahs-killing-and-israel-mulls-the-possibility-of-a-lebanon-ground-incursion/index.html
Obituary: Nasrallah oversaw Hezbollah’s rise into one of the most powerful paramilitary forces in the Middle East,"Sep 28, 2024","Hassan Nasrallah, who Israel killed in a strike on southern Beirut, turned Hezbollah into one of the most powerful paramilitary forces in the Middle East.",https://www.cnn.com/2024/09/28/middleeast/hezbollah-leader-hassan-nasrallah-obituary-intl/index.html
Middle East expert on why Israel struck Hezbollah now,"Sep 28, 2024",Barak Ravid joins The Lead,https://www.cnn.com/2024/09/27/world/video/the-lead-barak-ravid-israel-hezbollah-war-explosion-strike-jake-tapper
"September 26, 2024 Middle East conflict news","Sep 27, 2024","Israel carried out strikes in the southern suburbs of Beirut, which it said killed a Hezbollah commander, as the US and allies call for a 21-day ceasefire. Follow for live news updates.",https://www.cnn.com/world/live-news/israel-lebanon-war-hezbollah-09-26-24-intl-hnk/index.html
"Amanpour questions Iran's new VP on women's rights, hostages and regional war","Sep 27, 2024","Christiane Amanpour asks Javad Zarif, Iran’s Vice President for Strategic Affairs, about women’s rights, hostages, and if Iran will be pulled into a regional war.",https://www.cnn.com/2024/09/26/Tv/video/amanpour-iran-javad-zarif
CNN reporters in Beirut and Tel Aviv explain state of play after Israel intercepts Hezbollah missile,"Sep 26, 2024","A missile intercepted near Tel Aviv, Israel, is the first fired by the militant group Hezbollah to reach close to the city, the Israeli military said. CNN’s Nic Robertson reports from Tel Aviv, Israel, in conversation with Tamara Qiblawi in Beirut, Lebanon ...",https://www.cnn.com/2024/09/25/world/video/tel-aviv-beirut-israel-lebanon-digvid
UAE eyes ‘different architecture’ for a Middle East embroiled in conflict as it strengthens ties with the US,"Sep 25, 2024","The first-ever visit by a president of the United Arab Emirates to the White House took place this week as Israel’s war in Gaza expanded to Lebanon. That war, however, was not at the top of the agenda in talks with US officials.",https://www.cnn.com/2024/09/25/middleeast/uae-eyes-different-architecture-for-a-middle-east-intl/index.html
Israeli strikes cause deadliest day in Lebanon in nearly 2 decades. Here’s what we know,"Sep 25, 2024",Israel launched an intense barrage of airstrikes across swathes of Lebanon on Monday in what was the deadliest day for the country since at least the 2006 war fought between Israel and the powerful Iran-backed militant group Hezbollah.,https://www.cnn.com/2024/09/24/middleeast/israel-strikes-lebanon-hezbollah-explainer-intl-hnk/index.html
"US Navy replenishment ship sustains damage while operating in Middle East, official says","Sep 25, 2024","A US Navy replenishment ship sustained damage while operating in the Middle East, according to a Navy official, in an incident that remains under investigation.",https://www.cnn.com/2024/09/24/politics/us-navy-replenishment-ship-damaged-middle-east/index.html
‘Nothing could be further from reality’: Wedeman on Biden’s hope to bring peace to Middle East,"Sep 25, 2024",CNN Senior International Correspondent Ben Wedeman reacts to President Biden’s speech at the 79th United Nations General Assembly where he spoke about peace in the Middle East.,https://www.cnn.com/2024/09/24/world/video/wedeman-responds-biden-un-speech-middle-east-digvid
